episode,timestep,reward
35,800,22.5143
70,1600,22.9143
97,2400,29.5926
125,3200,28.4286
146,4000,37.2857
167,4800,38.0952
183,5600,50.4375
204,6400,38.3333
216,7200,65.8333
227,8000,74.9091
233,8800,129.6667
241,9600,103.375
245,10400,189.25
251,11200,115.5
257,12000,157.5
261,12800,179.75
267,13600,143.1667
270,14400,193.6667
273,15200,223.6667
277,16000,273.25
281,16800,213.25
284,17600,250.0
286,18400,382.5
289,19200,252.3333
291,20000,400.0
296,20800,177.6
299,21600,274.6667
302,22400,278.6667
304,23200,333.0
306,24000,343.0
310,24800,255.0
313,25600,276.3333
315,26400,326.0
317,27200,290.0
320,28000,387.3333
